City,Country,Lat,Lng,Date,Temp,Cloudiness,Humidity,Wind Speed
Albany,US,42.65,-73.75,1563067217,80.6,75,57,3.36
Havoysund,NO,71.0,24.66,1563067641,44.6,98,75,11.41
Anadyr,RU,64.73,177.51,1563067642,75.2,0,57,4.47
Arona,IT,45.76,8.56,1563067642,69.01,0,63,6.93
Samarinda,ID,-0.5,117.14,1563067643,75.29,99,87,4.97
Arosa,CH,46.78,9.68,1563067643,57.0,20,81,4.7
Chongwe,ZM,-15.33,28.68,1563067643,48.2,0,70,3.36
Sitka,US,37.17,-99.65,1563067504,84.0,0,53,1.01
Tabat,ID,-2.64,115.23,1563067644,74.93,87,79,1.57
Geraldton,CA,49.72,-86.95,1563067519,71.6,40,46,5.66
Chimore,BO,-16.98,-65.13,1563067644,72.23,95,70,2.17
Cabadiangan,PH,10.45,123.98,1563067644,82.4,90,74,10.29
Mozarlandia,BR,-14.74,-50.57,1563067645,73.67,2,40,0.54
Haines Junction,CA,60.75,-137.51,1563067645,65.03,98,44,8.81
Plastun,RU,44.76,136.29,1563067645,58.19,99,94,3.06
Yavoriv,UA,49.95,23.39,1563067645,57.2,0,93,2.84
Viedma,AR,-40.81,-62.99,1563067646,47.93,55,59,10.11
La Ronge,CA,55.1,-105.3,1563067372,64.4,40,88,2.24
Sydney,AU,-33.85,151.22,1563067570,57.2,0,35,18.34
Otterup,DK,55.52,10.4,1563067646,59.0,86,87,9.17
Vestmanna,FO,62.16,-7.17,1563067646,50.0,73,100,9.35
Upernavik,GL,72.79,-56.15,1563067533,46.85,72,80,9.44
Casper,US,42.87,-106.31,1563067501,82.99,1,30,4.7
Ziro,IN,27.54,93.82,1563067647,60.53,100,98,0.87
Khatanga,RU,71.98,102.47,1563067498,53.69,0,53,7.7
Yerbogachen,RU,61.28,108.01,1563067647,71.33,9,60,0.27
Sayyan,YE,15.17,44.32,1563067648,74.39,9,63,2.01
Butembo,CD,0.12,29.29,1563067649,58.01,60,95,3.02
Severo-Kurilsk,RU,50.68,156.12,1563067496,45.23,0,87,7.99
Mildura,AU,-34.18,142.16,1563067649,52.0,90,71,12.75
Boddam,GB,57.47,-1.78,1563067649,55.4,90,87,9.17
Bethel,US,60.79,-161.76,1563067575,64.4,75,63,6.93
Bundibugyo,UG,0.71,30.06,1563067650,50.09,72,82,4.07
Lorengau,PG,-2.02,147.27,1563067650,81.95,100,77,10.89
Ajaccio,FR,41.93,8.74,1563067650,75.2,0,73,6.93
Isangel,VU,-19.55,169.27,1563067507,80.6,75,74,6.93
Arraial do Cabo,BR,-22.97,-42.02,1563067492,60.8,14,100,3.36
Leh,IN,34.16,77.58,1563067651,38.21,55,65,2.19
San Policarpo,PH,12.18,125.51,1563067651,82.31,100,74,8.75
Riohacha,CO,11.54,-72.91,1563067651,89.6,20,55,18.34
Vila Velha,BR,-3.71,-38.6,1563067555,86.0,0,74,9.17
Lillooet,CA,50.69,-121.94,1563067652,78.8,40,34,16.11
Zaragoza,SV,13.59,-89.29,1563067359,84.2,20,79,8.05
Faanui,PF,-16.48,-151.75,1563067652,78.53,29,76,4.85
Hofn,IS,64.25,-15.21,1563067652,44.15,99,81,11.3
Gibara,CU,21.11,-76.13,1563067653,82.4,75,69,16.11
Soure,PT,40.06,-8.63,1563067653,68.0,90,82,2.24
Teya,MX,21.05,-89.07,1563067653,87.01,90,70,6.93
Cayenne,GF,4.94,-52.33,1563067570,75.2,0,94,3.33
Sheridan,US,39.65,-105.03,1563067362,82.4,75,30,18.34
Vangaindrano,MG,-23.35,47.6,1563067654,63.41,47,82,1.7
Saint-Philippe,CA,45.36,-73.48,1563067490,78.8,90,68,12.75
Kaitangata,NZ,-46.28,169.85,1563067512,48.99,100,73,5.99
Provideniya,RU,64.42,-173.23,1563067524,63.41,0,60,7.07
Los Llanos de Aridane,ES,28.66,-17.92,1563067587,73.4,90,69,13.87
Henties Bay,NA,-22.12,14.28,1563067655,52.0,0,97,3.0
Korhogo,CI,9.46,-5.63,1563067655,71.33,12,93,7.18
Ponta do Sol,BR,-20.63,-46.0,1563067510,63.41,28,61,2.8
Georgetown,GY,6.8,-58.16,1563067515,82.4,20,94,4.7
Mandalgovi,MN,45.76,106.27,1563067656,71.69,40,42,11.43
Turukhansk,RU,65.8,87.96,1563067514,52.25,38,76,10.76
Gasa,BT,27.91,89.73,1563067656,39.83,100,97,5.12
Zhigansk,RU,66.77,123.37,1563067656,66.11,97,39,7.11
Kahului,US,20.89,-156.47,1563067400,86.0,20,48,16.11
Huarmey,PE,-10.07,-78.15,1563067657,62.33,4,86,17.69
Makakilo City,US,21.35,-158.09,1563067657,89.6,40,46,16.11
Ostrovnoy,RU,68.05,39.51,1563067520,41.45,80,95,5.95
Idlib,SY,35.93,36.64,1563067657,73.4,40,78,11.41
Nchelenge,ZM,-9.35,28.74,1563067658,61.97,0,55,6.69
Taunggyi,MM,20.78,97.03,1563067658,67.73,74,90,5.95
Rawson,AR,-43.3,-65.11,1563067658,47.57,1,49,9.86
Khaniotis,GR,40.0,23.58,1563067375,57.99,75,95,11.72
Hamilton,CA,43.26,-79.87,1563067356,79.0,75,83,5.82
Kaeo,NZ,-35.1,173.78,1563067659,55.99,67,93,7.0
Padang,ID,-0.92,100.36,1563067659,82.31,70,79,11.14
Angoram,PG,-4.06,144.07,1563067660,81.23,100,76,2.37
Chabahar,IR,25.29,60.65,1563067446,82.85,94,76,9.04
San Andres,PH,13.32,122.68,1563067660,81.41,100,80,1.19
Ino,JP,33.55,133.43,1563067660,77.0,75,88,4.7
Finnsnes,NO,69.23,17.98,1563067661,51.01,88,81,10.29
Muyinga,BI,-2.85,30.34,1563067456,60.89,100,87,1.36
Matara,BI,-3.48,29.48,1563067661,50.45,78,91,1.45
Tuatapere,NZ,-46.13,167.69,1563067497,45.0,100,95,11.99
Vestmannaeyjar,IS,63.44,-20.27,1563067568,51.53,100,95,4.0
Beringovskiy,RU,63.05,179.32,1563067661,65.75,100,66,3.91
Buraydah,SA,26.33,43.97,1563067662,84.2,0,23,4.7
Cabo San Lucas,MX,22.89,-109.91,1563067540,89.01,40,78,2.24
Bathsheba,BB,13.22,-59.52,1563067662,82.4,75,74,17.22
Russkiy Aktash,RU,55.04,52.12,1563067662,57.2,90,100,11.18
Killybegs,IE,54.63,-8.45,1563067663,56.39,14,85,3.53
Waipawa,NZ,-39.94,176.59,1563067511,50.0,69,87,11.01
Laguna,BZ,16.17,-88.94,1563067663,82.4,40,83,6.98
Nogales,CL,-32.73,-71.2,1563067663,55.4,0,58,6.98
Latung,ID,-8.45,120.42,1563067663,74.39,18,61,2.8
Alekseyevsk,RU,57.84,108.35,1563067664,67.55,13,55,4.34
Sibolga,ID,1.74,98.78,1563067664,81.05,87,77,7.45
Nome,US,30.04,-94.42,1563067538,82.0,90,94,6.93
Kudahuvadhoo,MV,2.67,72.89,1563067664,83.57,56,74,9.51
Gizo,IL,31.8,34.94,1563067665,77.0,20,69,8.05
Bridlington,GB,54.08,-0.19,1563067452,57.99,52,100,2.24
Athabasca,CA,54.72,-113.29,1563067665,73.85,0,42,5.46
Talnakh,RU,69.49,88.39,1563067665,53.6,90,93,11.18
Tura,RU,64.27,100.22,1563067565,59.27,100,85,1.74
Mercedes,UY,-33.25,-58.03,1563067666,50.0,25,87,8.01
Soritor,PE,-6.14,-77.1,1563067666,49.73,96,97,2.53
Carnarvon,ZA,-30.97,22.13,1563067498,53.15,0,25,8.79
Eckernforde,DE,54.47,9.83,1563067667,57.99,93,87,5.82
Barranca,PE,-10.75,-77.76,1563067667,62.15,8,84,15.64
Gien,FR,47.69,2.63,1563067667,62.01,2,74,7.58
Bestobe,KZ,52.5,73.1,1563067667,64.49,0,73,6.58
Venecia,CO,4.09,-74.48,1563067668,57.65,46,87,4.88
Te Anau,NZ,-45.41,167.72,1563067668,45.05,90,77,8.52
Ayorou,NE,14.73,0.92,1563067668,86.81,28,49,14.83
Jijiga,ET,9.35,42.8,1563067668,59.27,51,89,10.83
Progreso,UY,-34.68,-56.22,1563067669,51.01,5,89,4.0
Fortuna,US,40.6,-124.16,1563067669,66.99,1,77,17.22
Nyurba,RU,63.29,118.35,1563067669,70.07,52,65,5.35
Mahibadhoo,MV,3.78,72.97,1563067669,83.03,80,74,6.62
Cap Malheureux,MU,-19.98,57.61,1563067670,71.6,75,53,11.41
Nova Olinda do Norte,BR,-3.89,-59.1,1563067670,76.37,39,78,1.3
Smirnykh,RU,49.74,142.83,1563067670,51.71,100,97,4.18
Ribeira Grande,PT,38.52,-28.7,1563067551,70.97,92,79,10.67
Gushi,CN,32.17,115.65,1563067671,78.35,0,76,6.02
Ponta Delgada,PT,37.73,-25.67,1563067671,69.8,20,88,5.82
Goderich,CA,43.74,-81.71,1563067671,68.0,6,75,8.99
Inyonga,TZ,-6.72,32.06,1563067672,63.77,6,53,5.66
Monrovia,LR,6.33,-10.8,1563067672,73.4,75,94,10.25
Kodiak,US,39.95,-94.76,1563067513,87.01,1,30,2.15
Abu Samrah,SY,35.3,37.18,1563067673,66.65,0,88,8.32
Roald,NO,62.58,6.12,1563067673,52.0,88,71,4.7
Conceicao do Araguaia,BR,-8.26,-49.26,1563067585,80.15,91,50,2.17
Lazaro Cardenas,MX,28.39,-105.62,1563067673,93.2,5,16,12.75
Sabalgarh,IN,26.25,77.41,1563067673,86.27,31,58,14.23
Minna,NG,9.62,6.55,1563067674,75.29,76,87,1.23
Omsukchan,RU,62.53,155.8,1563067674,76.91,84,31,7.25
Chiredzi,ZW,-21.05,31.67,1563067674,53.87,0,83,1.52
Nikolskoye,RU,59.7,30.79,1563067491,51.8,75,81,2.98
Poum,MK,41.28,20.71,1563067675,51.71,54,91,0.87
Naze,NG,5.43,7.07,1563067675,72.41,90,96,2.91
Lingyuan,CN,41.24,119.4,1563067515,73.13,0,51,4.16
Cidreira,BR,-30.17,-50.22,1563067503,56.75,100,94,8.23
Rio Blanco,MX,28.62,-111.47,1563067676,100.99,42,54,5.99
Kavieng,PG,-2.57,150.8,1563067577,82.85,53,75,8.9
Ahipara,NZ,-35.17,173.16,1563067676,57.65,75,74,25.72
Novoukrayinka,UA,48.33,31.53,1563067676,55.85,14,78,0.45
Grants Pass,US,42.44,-123.33,1563067677,89.6,1,27,10.29
Saint George,GR,39.45,22.34,1563067505,71.6,75,83,3.44
Constitucion,MX,23.99,-104.67,1563067544,72.0,90,53,13.87
Havre-Saint-Pierre,CA,50.23,-63.6,1563067677,57.2,90,93,5.82
Sola,TZ,-3.17,33.8,1563067535,66.29,97,73,0.6
Shenkursk,RU,62.11,42.91,1563067678,45.77,68,94,3.13
Lamu,CN,35.77,102.37,1563067679,56.93,98,67,4.63
Nuuk,GL,64.17,-51.74,1563067679,50.0,75,81,9.17
Save,BJ,8.04,2.49,1563067679,71.69,73,94,5.3
Port Lincoln,AU,-34.72,135.86,1563067513,54.95,83,74,21.0
San Fernando,TT,10.28,-61.46,1563067680,80.6,20,83,6.93
Kutum,SD,14.2,24.66,1563067680,78.35,41,46,3.47
Epe,DE,52.18,7.04,1563067680,59.0,75,87,4.7
Hailar,CN,49.2,119.7,1563067666,69.53,100,69,9.89
Morondava,MG,-20.3,44.28,1563067681,72.23,0,57,8.57
Bowen,AU,-20.01,148.25,1563067681,70.0,77,37,17.22
Ulaangom,MN,49.98,92.07,1563067681,63.77,7,58,5.61
Hasaki,JP,35.73,140.83,1563067576,69.8,75,100,9.17
Komsomolskiy,RU,67.55,63.78,1563067681,55.31,100,90,11.61
Les Cayes,HT,18.19,-73.75,1563067682,82.49,0,77,15.01
Tallahassee,US,30.44,-84.28,1563067531,86.0,1,88,4.7
Flinders,AU,-34.58,150.85,1563067682,57.0,0,58,18.34
Hami,CN,42.84,93.51,1563067585,81.59,6,27,5.35
Clarence Town,AU,-32.59,151.78,1563067683,57.99,0,57,21.92
Samarai,PG,-10.62,150.67,1563067683,74.57,100,93,8.1
Maltahohe,NA,-24.83,16.98,1563067683,45.95,0,57,2.21
Hovd,NO,63.83,10.7,1563067684,52.0,75,71,11.41
Pisco,PE,-13.71,-76.2,1563067684,62.6,75,82,6.93
Riyadh,SA,24.63,46.72,1563067388,84.2,0,13,8.05
Grootfontein,NA,-19.56,18.1,1563067558,41.45,0,46,3.89
Nhulunbuy,AU,-12.18,136.78,1563067685,77.0,75,61,19.46
Vila do Maio,CV,15.13,-23.22,1563067685,75.2,20,78,16.11
Carutapera,BR,-1.2,-46.02,1563067685,76.91,24,84,6.42
Erdenet,MN,49.03,104.04,1563067685,61.79,30,81,4.18
Nanortalik,GL,60.14,-45.24,1563067514,42.53,33,84,2.73
Kamaishi,JP,39.28,141.86,1563067686,73.4,75,78,5.82
Champerico,MX,16.38,-93.6,1563067686,80.6,75,69,6.93
Umm Kaddadah,SD,13.6,26.69,1563067687,86.27,27,39,12.91
Alice Springs,AU,-23.7,133.88,1563067569,51.8,0,43,20.8
Kununurra,AU,-15.77,128.74,1563067687,73.4,56,27,14.99
Kristinehamn,SE,59.31,14.11,1563067687,57.99,43,100,3.36
Bambous Virieux,MU,-20.34,57.76,1563067521,71.6,75,53,11.41
Kalaleh,IR,37.38,55.49,1563067688,75.2,99,100,7.72
Chodavaram,IN,17.44,81.78,1563067688,80.6,75,83,4.7
Umuarama,BR,-23.76,-53.31,1563067688,66.29,43,79,5.99
Frejus,FR,44.93,6.54,1563067688,66.99,5,57,1.99
Sanmenxia,CN,34.77,111.19,1563067689,82.13,0,39,3.87
Sahuaripa,MX,29.05,-109.23,1563067689,76.55,36,75,16.87
Thakurganj,IN,26.43,88.13,1563067689,75.2,75,100,2.24
Antofagasta,CL,-23.65,-70.4,1563067580,53.6,75,76,3.36
Tuy Hoa,VN,13.08,109.3,1563067690,80.15,13,68,8.57
Nabire,ID,-3.36,135.5,1563067690,71.69,100,80,5.08
Ugoofaaru,MV,5.67,73.0,1563067690,83.39,66,69,3.62
Santa Maria,BR,-16.02,-48.01,1563067691,66.2,0,52,2.24
Boma,GH,7.08,-2.17,1563067691,69.35,31,99,2.42
Granadilla de Abona,ES,28.12,-16.58,1563067583,71.6,20,78,13.87
Deputatskiy,RU,69.3,139.9,1563067691,54.95,97,77,5.35
Madona,LV,56.85,26.22,1563067692,47.57,94,92,2.37
Mazyr,BY,52.05,29.27,1563067692,51.89,24,91,3.65
Guerrero Negro,MX,27.97,-114.04,1563067692,68.63,0,85,12.44
Aksarka,RU,66.56,67.8,1563067503,57.47,100,82,9.73
Ancud,CL,-41.87,-73.83,1563067512,44.6,90,100,12.75
Cururupu,BR,-1.82,-44.87,1563067545,72.41,40,98,2.37
Avera,US,33.19,-82.53,1563067693,82.99,75,94,5.39
Kondinskoye,RU,59.65,67.41,1563067693,66.83,64,87,11.07
Sobolevo,RU,54.43,31.9,1563067693,46.85,28,86,2.82
Rutul,RU,41.53,47.42,1563067694,66.2,90,93,2.24
Acapulco,MX,16.86,-99.88,1563067694,86.0,75,70,4.7
Beloha,MG,-25.17,45.06,1563067532,59.27,0,86,8.59
Amursk,RU,50.23,136.9,1563067694,66.83,79,72,5.53
Carauari,BR,-4.88,-66.9,1563067695,77.27,93,76,2.46
Bonito,BR,-1.36,-47.3,1563067695,72.95,78,96,3.44
Siavonga,ZW,-16.54,28.71,1563067695,58.19,0,56,4.7
Ciudad Bolivar,VE,8.12,-63.55,1563067695,78.53,15,80,12.57
Twin Falls,US,42.57,-114.46,1563067696,89.6,20,35,3.36
Nongan,CN,44.43,125.17,1563067696,77.0,0,65,2.24
Nara,JP,34.68,135.8,1563067696,75.2,75,88,2.24
Iqaluit,CA,63.75,-68.52,1563067550,44.6,40,81,11.41
Namatanai,PG,-3.66,152.44,1563067697,80.51,64,80,9.44
Cape Coast,GH,5.11,-1.24,1563067697,73.67,0,90,6.13
Kampene,CD,-3.59,26.67,1563067697,67.19,29,79,0.92
Puerto Madero,AR,-34.61,-58.36,1563067697,48.2,0,81,2.24
Geisenheim,DE,49.99,7.97,1563067698,64.0,75,82,6.93
Sabla,NG,12.75,4.71,1563067698,84.29,8,56,10.45
Mayo,CA,63.59,-135.9,1563067698,73.4,75,35,5.82
Palmer,AU,-34.85,139.16,1563067699,55.99,75,93,13.87
Yulara,AU,-25.24,130.99,1563067699,51.8,0,55,18.34
Nichinan,JP,31.65,131.31,1563067699,77.0,75,94,3.36
Aksu,KZ,52.04,76.93,1563067699,64.4,0,72,11.18
Henderson,US,36.04,-114.98,1563067617,108.0,1,8,11.41
Fort Nelson,CA,58.81,-122.69,1563067510,69.8,75,56,10.29
Goksun,TR,38.02,36.5,1563067700,64.4,0,77,6.93
Lucapa,AO,-8.42,20.74,1563067700,65.21,0,69,4.23
Itarema,BR,-2.92,-39.92,1563067701,74.57,6,86,6.87
Chirongui,YT,-12.93,45.15,1563067701,77.0,75,73,12.75
Fairbanks,US,64.84,-147.72,1563067503,77.0,20,41,6.93
Natal,BR,-5.81,-35.21,1563067701,75.2,40,88,4.7
Mujiayingzi,CN,42.12,118.78,1563067701,69.17,11,49,2.86
Pong,CM,4.23,10.63,1563067702,71.69,86,98,2.19
Praia da Vitoria,PT,38.73,-27.07,1563067702,71.6,75,94,8.5
Gerash,IR,27.67,54.14,1563067702,84.2,0,45,3.13
Chulman,RU,56.84,124.9,1563067703,62.69,98,87,1.97
Basmat,IN,19.33,77.16,1563067703,76.01,99,83,11.16
Quimper,FR,48.0,-4.1,1563067703,59.0,0,93,5.82
Tuktoyaktuk,CA,69.44,-133.03,1563067537,64.4,75,55,9.17
San Cristobal,HN,14.68,-86.92,1563067551,74.75,74,62,7.29
Juegang,CN,32.31,121.18,1563067704,81.0,33,67,6.82
Ishinomaki,JP,38.42,141.3,1563067704,68.0,75,94,6.93
Dingle,PH,11.0,122.67,1563067564,77.99,100,81,2.75
Pangoa,PE,-12.12,-73.0,1563067704,72.05,0,77,1.99
Lavrentiya,RU,65.58,-170.99,1563067580,68.27,0,50,10.2
Brookhaven,US,40.78,-72.92,1563067705,78.01,1,73,4.7
Sunrise Manor,US,36.21,-115.07,1563067705,109.0,1,9,11.41
Lompoc,US,34.64,-120.46,1563067395,84.2,1,77,11.41
Lasa,CY,34.92,32.53,1563067581,73.4,0,77,6.93
Pechora,RU,65.12,57.16,1563067705,55.85,100,97,6.29
Coihaique,CL,-45.58,-72.07,1563067447,37.4,90,93,5.82
Tosham,IN,28.87,75.92,1563067706,90.05,5,49,22.28
Timizart,DZ,36.8,4.25,1563067706,76.55,0,76,4.36
Prachuap Khiri Khan,TH,11.81,99.79,1563067707,73.13,89,90,7.16
Port-Gentil,GA,-0.72,8.78,1563067573,75.65,81,83,12.3
Langham,CA,52.36,-106.96,1563067707,78.01,75,60,5.82
Almeirim,BR,-1.53,-52.58,1563067707,73.85,99,91,1.81
Kuryk,KZ,43.18,51.68,1563067708,76.73,0,60,12.21
Pangody,RU,65.85,74.49,1563067579,57.11,70,68,17.16
San Quintin,PH,17.54,120.52,1563067708,80.87,45,80,3.47
Kenai,US,60.55,-151.26,1563067709,64.0,90,72,5.82
Yuanping,CN,38.72,112.71,1563067709,68.09,69,55,1.92
Saint-Pierre,FR,48.95,4.24,1563067709,57.2,75,87,10.29
